AICS-12_0,20160705_S03_001.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_1,20160705_S03_002.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_2,20160705_S03_003.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_3,20160705_S03_004.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_4,20160705_S03_005.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_5,20160705_S03_006.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_6,20160705_S03_007.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_7,20160705_S03_008.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_8,20160705_S03_009.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_9,20160705_S03_010.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_10,20160705_S03_011.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_11,20160705_S03_012.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_12,20160705_S03_013.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_13,20160705_S03_014.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_14,20160705_S03_015.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_15,20160705_S03_016.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_16,20160705_S03_017.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_17,20160705_S03_018.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_18,20160705_S03_019.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_19,20160705_S03_020.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_20,20160705_S03_021.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_21,20160705_S03_022.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_22,20160705_S03_023.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_23,20160705_S03_024.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_24,20160705_S03_025.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_25,20160705_S03_026.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_26,20160705_S03_027.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_27,20160705_S03_028.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_28,20160705_S03_029.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_29,20160705_S03_030.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_30,20160705_S03_031.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_31,20160705_S03_032.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_32,20160705_S03_033.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_33,20160705_S03_034.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_34,20160705_S03_035.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
AICS-12_35,20160705_S03_036.czi,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Sue\2016\20160705
