Index,inputFolder,inputFilename,xyPixelSize,zPixelSize,memChannel,nucChannel,structureChannel,lightChannel,timePoint,outputSegmentationPath,outputNucSegWholeFilename,outputCellSegWholeFilename
1,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_002.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_002.czi_nucWholeIndex.tiff,20160708_I01_002.czi_cellWholeIndex.tiff
2,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_003.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_003.czi_nucWholeIndex.tiff,20160708_I01_003.czi_cellWholeIndex.tiff
3,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_004.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_004.czi_nucWholeIndex.tiff,20160708_I01_004.czi_cellWholeIndex.tiff
4,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_005.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_005.czi_nucWholeIndex.tiff,20160708_I01_005.czi_cellWholeIndex.tiff
5,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_006.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_006.czi_nucWholeIndex.tiff,20160708_I01_006.czi_cellWholeIndex.tiff
6,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_007.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_007.czi_nucWholeIndex.tiff,20160708_I01_007.czi_cellWholeIndex.tiff
7,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_008.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_008.czi_nucWholeIndex.tiff,20160708_I01_008.czi_cellWholeIndex.tiff
8,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_009.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_009.czi_nucWholeIndex.tiff,20160708_I01_009.czi_cellWholeIndex.tiff
9,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_010.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_010.czi_nucWholeIndex.tiff,20160708_I01_010.czi_cellWholeIndex.tiff
10,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_011.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_011.czi_nucWholeIndex.tiff,20160708_I01_011.czi_cellWholeIndex.tiff
11,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_012.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_012.czi_nucWholeIndex.tiff,20160708_I01_012.czi_cellWholeIndex.tiff
12,\\aibsdata\aics\AssayDevelopment\MicroscopyData\Irina\2016\20160708,20160708_I01_014.czi,0.065,0.29,1,3,2,4,1,\\aibsdata\aics\AssayDevelopment\Analysis\toAnimatedCell\2016_08_12_Nuc_Cell_Seg_3cell_lines\20160708_I01_alphactinin,20160708_I01_014.czi_nucWholeIndex.tiff,20160708_I01_014.czi_cellWholeIndex.tiff
